PFP client version: 1.6.1
Model version: v3.0.0
Calculation mode: CRYSTAL_PLUS_D3
****************************************
Examining NCM523 ...
  Importing initial (known) stable/unstable structures ...
  Supercell size: 5 × 4 × 1
  Number of atoms (perfect): 240
  Cell parameters (a, b, c): 2.880780, 2.890300, 14.150000
Estimating energy range ...
  NOTE: Energy range is estimated from imported structures!
  Energy range (min, max): -1083.319505, -1068.137526
Performing Wang-Landau MCMC sampling ...
  Number of energy states: 60
  Energy spacing (eV): 0.257322
  Histogram flatness threshold: 0.8
  Initial modification factor: 2.718282
  Modification factor threshold: 1.00e-06
  Number of F-iterations: 0 + 19
  F-Iteration: 0 	F = 2.718282
  F-Iteration: 3 	MC-Sweep: 1300000 	Time(s): 487376.598586
  F-Iteration: 3 	MC-Sweep: 1310000 	Time(s): 489775.966993
  F-Iteration: 3 	MC-Sweep: 1320000 	Time(s): 492149.844182
  F-Iteration: 3 	MC-Sweep: 1330000 	Time(s): 494538.562048
  F-Iteration: 3 	MC-Sweep: 1340000 	Time(s): 496924.510672
  F-Iteration: 3 	MC-Sweep: 1350000 	Time(s): 499298.328450
  F-Iteration: 3 	MC-Sweep: 1360000 	Time(s): 501646.856229
  F-Iteration: 3 	MC-Sweep: 1370000 	Time(s): 503988.874034
  F-Iteration: 3 	MC-Sweep: 1380000 	Time(s): 506337.008339
  F-Iteration: 3 	MC-Sweep: 1390000 	Time(s): 508715.606270
  F-Iteration: 3 	MC-Sweep: 1400000 	Time(s): 511088.290581
  F-Iteration: 3 	MC-Sweep: 1410000 	Time(s): 513434.119958
  F-Iteration: 3 	MC-Sweep: 1420000 	Time(s): 515760.554322
  F-Iteration: 3 	MC-Sweep: 1430000 	Time(s): 518130.499916
  F-Iteration: 3 	MC-Sweep: 1440000 	Time(s): 520441.066393
  F-Iteration: 3 	MC-Sweep: 1450000 	Time(s): 522718.029931
  F-Iteration: 3 	MC-Sweep: 1460000 	Time(s): 524996.818577
  F-Iteration: 3 	MC-Sweep: 1470000 	Time(s): 527248.255000
  F-Iteration: 3 	MC-Sweep: 1480000 	Time(s): 529535.838683
  F-Iteration: 3 	MC-Sweep: 1490000 	Time(s): 531835.654296
  F-Iteration: 3 	MC-Sweep: 1500000 	Time(s): 534146.112764
  F-Iteration: 3 	MC-Sweep: 1510000 	Time(s): 536466.380264
  F-Iteration: 3 	MC-Sweep: 1520000 	Time(s): 538743.225275
  F-Iteration: 3 	MC-Sweep: 1530000 	Time(s): 541023.859767
  F-Iteration: 3 	MC-Sweep: 1540000 	Time(s): 543284.704613
  F-Iteration: 3 	MC-Sweep: 1550000 	Time(s): 545609.940577
